Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000004.1	223916	225139	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000004.1	225139	228303	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000005.1	96120	98309	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000017.1	276	1319	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000021.1	42790	44589	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000021.1	44579	46378	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000022.1	7574	8386	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000022.1	10566	11762	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000022.1	20612	21037	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000027.1	14457	15599	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000033.1	2178	2819	+	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NA	NA
GCA_049744095.1_ASM4974409v1	NA	JBLZTH010000034.1	105	977	-	blaCTX-M-8	extended-spectrum class A beta-lactamase CTX-M-8	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_032489598.1	extended-spectrum class A beta-lactamase CTX-M-8	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000001.1	522609	524663	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000001.1	552261	553166	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000001.1	641875	645501	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000001.1	645585	646697	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000003.1	443750	444211	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000003.1	444226	446511	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.08	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000003.1	446788	448011	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000003.1	448011	451175	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000004.1	421356	422162	+	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000005.1	96246	98435	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000014.1	1564	2607	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000015.1	5606	6031	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000015.1	85422	86564	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000022.1	42789	44588	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000022.1	44578	46377	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000027.1	7574	8386	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000027.1	10566	11762	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000035.1	2178	2819	+	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NA	NA
GCA_049744115.1_ASM4974411v1	NA	JBLZTI010000041.1	140	952	-	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018329.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000001.1	476246	478300	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000001.1	505898	506803	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000001.1	595242	598868	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000001.1	598952	600064	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000003.1	96120	98309	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000004.1	196052	196513	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000004.1	196528	198813	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.08	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000004.1	199090	200313	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000004.1	200313	203477	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000006.1	5050	5856	-	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000019.1	1564	2607	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000025.1	42790	44589	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000025.1	44579	46378	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000026.1	42044	43186	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000029.1	5606	6031	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000034.1	22783	23595	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000036.1	3211	4407	-	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000036.1	7415	8203	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
GCA_049744195.1_ASM4974419v1	NA	JBLZTK010000044.1	2178	2819	+	qnrB19	quinolone resistance pentapeptide repeat protein QnrB19	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	214	214	100.00	100.00	214	WP_012954666.1	quinolone resistance pentapeptide repeat protein QnrB19	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000001.1	425947	428001	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000001.1	455599	456504	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	98.01	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000001.1	545213	548839	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000001.1	548923	550035	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.52	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000004.1	96120	98309	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	96.85	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000006.1	196068	196529	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	BLASTX	154	154	100.00	99.35	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000006.1	196544	198829	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.08	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000006.1	199106	200329	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000006.1	200329	203493	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.81	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000022.1	42790	44589	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000022.1	44579	46378	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000023.1	276	1319	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	98.85	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000028.1	35055	36197	-	blaCMY-2	extended-spectrum class C beta-lactamase CMY-2	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	381	381	100.00	100.00	381	WP_000976514.1	extended-spectrum class C beta-lactamase CMY-2	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000029.1	5606	6031	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000034.1	5048	5854	-	cdtB	cytolethal distending toxin S-CDT	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	269	269	100.00	100.00	269	CAD02120.1	cytolethal distending toxin S-CDT	NA	NA
GCA_049744215.1_ASM4974421v1	NA	JBLZTJ010000036.1	7563	8375	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
