Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCA_049744075.1_ASM4974407v1_genomic,GCA_049744095.1_ASM4974409v1_genomic,GCA_049744115.1_ASM4974411v1_genomic,GCA_049744195.1_ASM4974419v1_genomic,GCA_049744215.1_ASM4974421v1_genomic,GCA_049744235.1_ASM4974423v1_genomic,GCA_049744295.1_ASM4974429v1_genomic,GCA_049744305.1_ASM4974430v1_genomic,GCA_049744355.1_ASM4974435v1_genomic,GCA_049744415.1_ASM4974441v1_genomic,GCA_049744425.1_ASM4974442v1_genomic,GCA_049744475.1_ASM4974447v1_genomic,GCA_049744535.1_ASM4974453v1_genomic,GCA_049744555.1_ASM4974455v1_genomic,GCA_049744575.1_ASM4974457v1_genomic,GCA_049744655.1_ASM4974465v1_genomic,GCA_049744675.1_ASM4974467v1_genomic,GCA_049744695.1_ASM4974469v1_genomic,GCA_049744775.1_ASM4974477v1_genomic,GCA_049744795.1_ASM4974479v1_genomic,GCA_049744815.1_ASM4974481v1_genomic,GCA_049744875.1_ASM4974487v1_genomic,GCA_049744915.1_ASM4974491v1_genomic,GCA_049744935.1_ASM4974493v1_genomic,GCA_049744995.1_ASM4974499v1_genomic,GCA_049745015.1_ASM4974501v1_genomic,GCA_049745055.1_ASM4974505v1_genomic,GCA_049745115.1_ASM4974511v1_genomic,GCA_049745135.1_ASM4974513v1_genomic,GCA_049745155.1_ASM4974515v1_genomic,GCA_049745215.1_ASM4974521v1_genomic,GCA_049745255.1_ASM4974525v1_genomic,GCA_049745275.1_ASM4974527v1_genomic,GCA_049745315.1_ASM4974531v1_genomic,GCA_049745375.1_ASM4974537v1_genomic,GCA_049745395.1_ASM4974539v1_genomic
potC,potC,spermidine/putrescine ABC transporter permease PotC,36,36,1.0,7,19,,,,780,780,780.0,PELDJG_22110,IDBKBP_22815,LPINFE_23485,ECBHDB_23395,DADOMI_22625,ELDHGE_22700,MDPJHN_23350,HFNKEK_22760,AIPMEA_22805,AKMJEK_22685,PAKNIB_22700,NPKKGL_22705,NCNPLN_23355,HICFFN_22595,PDGMNN_22845,LNCDGL_22820,MOCNOJ_22875,MBAGMH_22705,FCFEDA_22815,KIAGOF_22735,LGENEP_22960,BOACPM_23095,GEHLKP_23330,HGDNEH_23125,KDBOED_22690,CCFJDI_23285,OJCCDD_22915,MLAAMA_23520,OHBKOH_23105,CMGKAF_23790,BMJMLA_23260,OMOEPE_20900,CODKGK_23610,CMJGGH_23475,JAPNBN_23405,GMMDCK_23460
phoP,phoP,two-component system response regulator PhoP,36,36,1.0,7,18,,,,675,675,675.0,PELDJG_22150,IDBKBP_22855,LPINFE_23525,ECBHDB_23435,DADOMI_22665,ELDHGE_22740,MDPJHN_23390,HFNKEK_22800,AIPMEA_22845,AKMJEK_22725,PAKNIB_22740,NPKKGL_22745,NCNPLN_23395,HICFFN_22635,PDGMNN_22885,LNCDGL_22860,MOCNOJ_22915,MBAGMH_22745,FCFEDA_22855,KIAGOF_22775,LGENEP_23000,BOACPM_23135,GEHLKP_23370,HGDNEH_23165,KDBOED_22730,CCFJDI_23325,OJCCDD_22955,MLAAMA_23560,OHBKOH_23145,CMGKAF_23830,BMJMLA_23300,OMOEPE_20940,CODKGK_23650,CMJGGH_23515,JAPNBN_23445,GMMDCK_23500
potA,potA,spermidine/putrescine ABC transporter ATP-binding protein PotA,36,36,1.0,7,17,,,,1137,1137,1137.0,PELDJG_22125,IDBKBP_22830,LPINFE_23500,ECBHDB_23410,DADOMI_22640,ELDHGE_22715,MDPJHN_23365,HFNKEK_22775,AIPMEA_22820,AKMJEK_22700,PAKNIB_22715,NPKKGL_22720,NCNPLN_23370,HICFFN_22610,PDGMNN_22860,LNCDGL_22835,MOCNOJ_22890,MBAGMH_22720,FCFEDA_22830,KIAGOF_22750,LGENEP_22975,BOACPM_23110,GEHLKP_23345,HGDNEH_23140,KDBOED_22705,CCFJDI_23300,OJCCDD_22930,MLAAMA_23535,OHBKOH_23120,CMGKAF_23805,BMJMLA_23275,OMOEPE_20915,CODKGK_23625,CMJGGH_23490,JAPNBN_23420,GMMDCK_23475
lolD,lolD,lipoprotein-releasing ABC transporter ATP-binding protein LolD,36,36,1.0,7,16,,,,702,702,702.0,PELDJG_22085,IDBKBP_22790,LPINFE_23460,ECBHDB_23370,DADOMI_22600,ELDHGE_22675,MDPJHN_23325,HFNKEK_22735,AIPMEA_22780,AKMJEK_22660,PAKNIB_22675,NPKKGL_22680,NCNPLN_23330,HICFFN_22570,PDGMNN_22820,LNCDGL_22795,MOCNOJ_22850,MBAGMH_22680,FCFEDA_22790,KIAGOF_22710,LGENEP_22935,BOACPM_23070,GEHLKP_23305,HGDNEH_23100,KDBOED_22665,CCFJDI_23260,OJCCDD_22890,MLAAMA_23495,OHBKOH_23080,CMGKAF_23765,BMJMLA_23235,OMOEPE_20875,CODKGK_23585,CMJGGH_23450,JAPNBN_23380,GMMDCK_23435
potD,potD,spermidine/putrescine ABC transporter substrate-binding protein PotD,36,36,1.0,7,15,,,,1047,1047,1047.0,PELDJG_22105,IDBKBP_22810,LPINFE_23480,ECBHDB_23390,DADOMI_22620,ELDHGE_22695,MDPJHN_23345,HFNKEK_22755,AIPMEA_22800,AKMJEK_22680,PAKNIB_22695,NPKKGL_22700,NCNPLN_23350,HICFFN_22590,PDGMNN_22840,LNCDGL_22815,MOCNOJ_22870,MBAGMH_22700,FCFEDA_22810,KIAGOF_22730,LGENEP_22955,BOACPM_23090,GEHLKP_23325,HGDNEH_23120,KDBOED_22685,CCFJDI_23280,OJCCDD_22910,MLAAMA_23515,OHBKOH_23100,CMGKAF_23785,BMJMLA_23255,OMOEPE_20895,CODKGK_23605,CMJGGH_23470,JAPNBN_23400,GMMDCK_23455
nagK,nagK,N-acetylglucosamine kinase,36,36,1.0,7,14,,,,912,912,912.0,PELDJG_22095,IDBKBP_22800,LPINFE_23470,ECBHDB_23380,DADOMI_22610,ELDHGE_22685,MDPJHN_23335,HFNKEK_22745,AIPMEA_22790,AKMJEK_22670,PAKNIB_22685,NPKKGL_22690,NCNPLN_23340,HICFFN_22580,PDGMNN_22830,LNCDGL_22805,MOCNOJ_22860,MBAGMH_22690,FCFEDA_22800,KIAGOF_22720,LGENEP_22945,BOACPM_23080,GEHLKP_23315,HGDNEH_23110,KDBOED_22675,CCFJDI_23270,OJCCDD_22900,MLAAMA_23505,OHBKOH_23090,CMGKAF_23775,BMJMLA_23245,OMOEPE_20885,CODKGK_23595,CMJGGH_23460,JAPNBN_23390,GMMDCK_23445
sifA,sifA,SPI-2 type III secretion system effector SifA,36,36,1.0,7,13,,,,1011,1011,1011.0,PELDJG_22115,IDBKBP_22820,LPINFE_23490,ECBHDB_23400,DADOMI_22630,ELDHGE_22705,MDPJHN_23355,HFNKEK_22765,AIPMEA_22810,AKMJEK_22690,PAKNIB_22705,NPKKGL_22710,NCNPLN_23360,HICFFN_22600,PDGMNN_22850,LNCDGL_22825,MOCNOJ_22880,MBAGMH_22710,FCFEDA_22820,KIAGOF_22740,LGENEP_22965,BOACPM_23100,GEHLKP_23335,HGDNEH_23130,KDBOED_22695,CCFJDI_23290,OJCCDD_22920,MLAAMA_23525,OHBKOH_23110,CMGKAF_23795,BMJMLA_23265,OMOEPE_20905,CODKGK_23615,CMJGGH_23480,JAPNBN_23410,GMMDCK_23465
lolE,lolE,lipoprotein-releasing ABC transporter permease subunit LolE,36,36,1.0,7,12,,,,1245,1245,1245.0,PELDJG_22090,IDBKBP_22795,LPINFE_23465,ECBHDB_23375,DADOMI_22605,ELDHGE_22680,MDPJHN_23330,HFNKEK_22740,AIPMEA_22785,AKMJEK_22665,PAKNIB_22680,NPKKGL_22685,NCNPLN_23335,HICFFN_22575,PDGMNN_22825,LNCDGL_22800,MOCNOJ_22855,MBAGMH_22685,FCFEDA_22795,KIAGOF_22715,LGENEP_22940,BOACPM_23075,GEHLKP_23310,HGDNEH_23105,KDBOED_22670,CCFJDI_23265,OJCCDD_22895,MLAAMA_23500,OHBKOH_23085,CMGKAF_23770,BMJMLA_23240,OMOEPE_20880,CODKGK_23590,CMJGGH_23455,JAPNBN_23385,GMMDCK_23440
lolC,lolC,lipoprotein-releasing ABC transporter permease subunit LolC,36,36,1.0,7,11,,,,1200,1200,1200.0,PELDJG_22080,IDBKBP_22785,LPINFE_23455,ECBHDB_23365,DADOMI_22595,ELDHGE_22670,MDPJHN_23320,HFNKEK_22730,AIPMEA_22775,AKMJEK_22655,PAKNIB_22670,NPKKGL_22675,NCNPLN_23325,HICFFN_22565,PDGMNN_22815,LNCDGL_22790,MOCNOJ_22845,MBAGMH_22675,FCFEDA_22785,KIAGOF_22705,LGENEP_22930,BOACPM_23065,GEHLKP_23300,HGDNEH_23095,KDBOED_22660,CCFJDI_23255,OJCCDD_22885,MLAAMA_23490,OHBKOH_23075,CMGKAF_23760,BMJMLA_23230,OMOEPE_20870,CODKGK_23580,CMJGGH_23445,JAPNBN_23375,GMMDCK_23430
icd,icd,NADP-dependent isocitrate dehydrogenase,36,36,1.0,7,10,,,,1251,1251,1251.0,PELDJG_22185,IDBKBP_22890,LPINFE_23560,ECBHDB_23470,DADOMI_22700,ELDHGE_22775,MDPJHN_23425,HFNKEK_22835,AIPMEA_22880,AKMJEK_22760,PAKNIB_22775,NPKKGL_22780,NCNPLN_23430,HICFFN_22670,PDGMNN_22920,LNCDGL_22895,MOCNOJ_22950,MBAGMH_22780,FCFEDA_22890,KIAGOF_22810,LGENEP_23035,BOACPM_23170,GEHLKP_23405,HGDNEH_23200,KDBOED_22765,CCFJDI_23360,OJCCDD_22990,MLAAMA_23595,OHBKOH_23180,CMGKAF_23865,BMJMLA_23335,OMOEPE_20975,CODKGK_23685,CMJGGH_23550,JAPNBN_23480,GMMDCK_23535
cobB,cobB,NAD-dependent protein deacylase,36,36,1.0,7,9,,,,822,822,822.0,PELDJG_22100,IDBKBP_22805,LPINFE_23475,ECBHDB_23385,DADOMI_22615,ELDHGE_22690,MDPJHN_23340,HFNKEK_22750,AIPMEA_22795,AKMJEK_22675,PAKNIB_22690,NPKKGL_22695,NCNPLN_23345,HICFFN_22585,PDGMNN_22835,LNCDGL_22810,MOCNOJ_22865,MBAGMH_22695,FCFEDA_22805,KIAGOF_22725,LGENEP_22950,BOACPM_23085,GEHLKP_23320,HGDNEH_23115,KDBOED_22680,CCFJDI_23275,OJCCDD_22905,MLAAMA_23510,OHBKOH_23095,CMGKAF_23780,BMJMLA_23250,OMOEPE_20890,CODKGK_23600,CMJGGH_23465,JAPNBN_23395,GMMDCK_23450
mfd,mfd,transcription-repair coupling factor,36,36,1.0,7,8,,,,3447,3447,3447.0,PELDJG_22075,IDBKBP_22780,LPINFE_23450,ECBHDB_23360,DADOMI_22590,ELDHGE_22665,MDPJHN_23315,HFNKEK_22725,AIPMEA_22770,AKMJEK_22650,PAKNIB_22665,NPKKGL_22670,NCNPLN_23320,HICFFN_22560,PDGMNN_22810,LNCDGL_22785,MOCNOJ_22840,MBAGMH_22670,FCFEDA_22780,KIAGOF_22700,LGENEP_22925,BOACPM_23060,GEHLKP_23295,HGDNEH_23090,KDBOED_22655,CCFJDI_23250,OJCCDD_22880,MLAAMA_23485,OHBKOH_23070,CMGKAF_23755,BMJMLA_23225,OMOEPE_20865,CODKGK_23575,CMJGGH_23440,JAPNBN_23370,GMMDCK_23425
purB,purB,adenylosuccinate lyase,36,36,1.0,7,7,,,,1371,1371,1371.0,PELDJG_22155,IDBKBP_22860,LPINFE_23530,ECBHDB_23440,DADOMI_22670,ELDHGE_22745,MDPJHN_23395,HFNKEK_22805,AIPMEA_22850,AKMJEK_22730,PAKNIB_22745,NPKKGL_22750,NCNPLN_23400,HICFFN_22640,PDGMNN_22890,LNCDGL_22865,MOCNOJ_22920,MBAGMH_22750,FCFEDA_22860,KIAGOF_22780,LGENEP_23005,BOACPM_23140,GEHLKP_23375,HGDNEH_23170,KDBOED_22735,CCFJDI_23330,OJCCDD_22960,MLAAMA_23565,OHBKOH_23150,CMGKAF_23835,BMJMLA_23305,OMOEPE_20945,CODKGK_23655,CMJGGH_23520,JAPNBN_23450,GMMDCK_23505
mnmA,mnmA,tRNA 2-thiouridine(34) synthase MnmA,36,36,1.0,7,6,,,,1107,1107,1107.0,PELDJG_22165,IDBKBP_22870,LPINFE_23540,ECBHDB_23450,DADOMI_22680,ELDHGE_22755,MDPJHN_23405,HFNKEK_22815,AIPMEA_22860,AKMJEK_22740,PAKNIB_22755,NPKKGL_22760,NCNPLN_23410,HICFFN_22650,PDGMNN_22900,LNCDGL_22875,MOCNOJ_22930,MBAGMH_22760,FCFEDA_22870,KIAGOF_22790,LGENEP_23015,BOACPM_23150,GEHLKP_23385,HGDNEH_23180,KDBOED_22745,CCFJDI_23340,OJCCDD_22970,MLAAMA_23575,OHBKOH_23160,CMGKAF_23845,BMJMLA_23315,OMOEPE_20955,CODKGK_23665,CMJGGH_23530,JAPNBN_23460,GMMDCK_23515
rluE,rluE,23S rRNA pseudouridine(2457) synthase RluE,36,36,1.0,7,5,,,,738,738,738.0,PELDJG_22180,IDBKBP_22885,LPINFE_23555,ECBHDB_23465,DADOMI_22695,ELDHGE_22770,MDPJHN_23420,HFNKEK_22830,AIPMEA_22875,AKMJEK_22755,PAKNIB_22770,NPKKGL_22775,NCNPLN_23425,HICFFN_22665,PDGMNN_22915,LNCDGL_22890,MOCNOJ_22945,MBAGMH_22775,FCFEDA_22885,KIAGOF_22805,LGENEP_23030,BOACPM_23165,GEHLKP_23400,HGDNEH_23195,KDBOED_22760,CCFJDI_23355,OJCCDD_22985,MLAAMA_23590,OHBKOH_23175,CMGKAF_23860,BMJMLA_23330,OMOEPE_20970,CODKGK_23680,CMJGGH_23545,JAPNBN_23475,GMMDCK_23530
comR,comR,TetR family copper-responsive transcriptional repressor ComR,36,36,1.0,7,4,,,,636,636,636.0,PELDJG_22060,IDBKBP_22765,LPINFE_23435,ECBHDB_23345,DADOMI_22575,ELDHGE_22650,MDPJHN_23300,HFNKEK_22710,AIPMEA_22755,AKMJEK_22635,PAKNIB_22650,NPKKGL_22655,NCNPLN_23305,HICFFN_22545,PDGMNN_22795,LNCDGL_22770,MOCNOJ_22825,MBAGMH_22655,FCFEDA_22765,KIAGOF_22685,LGENEP_22910,BOACPM_23045,GEHLKP_23280,HGDNEH_23075,KDBOED_22640,CCFJDI_23235,OJCCDD_22865,MLAAMA_23470,OHBKOH_23055,CMGKAF_23740,BMJMLA_23210,OMOEPE_20850,CODKGK_23560,CMJGGH_23425,JAPNBN_23355,GMMDCK_23410
group_1629,,YdgH-BhsA-like domain-containing protein,36,36,1.0,7,3,,,,258,258,258.0,PELDJG_22065,IDBKBP_22770,LPINFE_23440,ECBHDB_23350,DADOMI_22580,ELDHGE_22655,MDPJHN_23305,HFNKEK_22715,AIPMEA_22760,AKMJEK_22640,PAKNIB_22655,NPKKGL_22660,NCNPLN_23310,HICFFN_22550,PDGMNN_22800,LNCDGL_22775,MOCNOJ_22830,MBAGMH_22660,FCFEDA_22770,KIAGOF_22690,LGENEP_22915,BOACPM_23050,GEHLKP_23285,HGDNEH_23080,KDBOED_22645,CCFJDI_23240,OJCCDD_22870,MLAAMA_23475,OHBKOH_23060,CMGKAF_23745,BMJMLA_23215,OMOEPE_20855,CODKGK_23565,CMJGGH_23430,JAPNBN_23360,GMMDCK_23415
potB,potB,spermidine/putrescine ABC transporter permease PotB,36,36,1.0,7,2,,,,864,864,864.0,PELDJG_22120,IDBKBP_22825,LPINFE_23495,ECBHDB_23405,DADOMI_22635,ELDHGE_22710,MDPJHN_23360,HFNKEK_22770,AIPMEA_22815,AKMJEK_22695,PAKNIB_22710,NPKKGL_22715,NCNPLN_23365,HICFFN_22605,PDGMNN_22855,LNCDGL_22830,MOCNOJ_22885,MBAGMH_22715,FCFEDA_22825,KIAGOF_22745,LGENEP_22970,BOACPM_23105,GEHLKP_23340,HGDNEH_23135,KDBOED_22700,CCFJDI_23295,OJCCDD_22925,MLAAMA_23530,OHBKOH_23115,CMGKAF_23800,BMJMLA_23270,OMOEPE_20910,CODKGK_23620,CMJGGH_23485,JAPNBN_23415,GMMDCK_23470
group_1628,mutT,8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases NUDIX family,36,36,1.0,7,1,,,,462,462,462.0,PELDJG_22170,IDBKBP_22875,LPINFE_23545,ECBHDB_23455,DADOMI_22685,ELDHGE_22760,MDPJHN_23410,HFNKEK_22820,AIPMEA_22865,AKMJEK_22745,PAKNIB_22760,NPKKGL_22765,NCNPLN_23415,HICFFN_22655,PDGMNN_22905,LNCDGL_22880,MOCNOJ_22935,MBAGMH_22765,FCFEDA_22875,KIAGOF_22795,LGENEP_23020,BOACPM_23155,GEHLKP_23390,HGDNEH_23185,KDBOED_22750,CCFJDI_23345,OJCCDD_22975,MLAAMA_23580,OHBKOH_23165,CMGKAF_23850,BMJMLA_23320,OMOEPE_20960,CODKGK_23670,CMJGGH_23535,JAPNBN_23465,GMMDCK_23520
